CellID,DNA_1,AF488,AF555,AF647,DNA_2,A488_background,A555_background,A647_background,DNA_3,FDX1,CD357,CD1D,X_centroid,Y_centroid,Area,MajorAxisLength,MinorAxisLength,Eccentricity,Solidity,Extent,Orientation
1,42927.02409638554,695.2530120481928,255.80722891566265,332.1566265060241,45558.67469879518,419.1927710843373,206.72289156626505,281.69879518072287,24136.518072289156,1724.8313253012047,929.7469879518072,946.9879518072289,1049.132530120482,641.433734939759,83,12.649256703000244,8.444386940880545,0.74453834680398,0.9325842696629213,0.7685185185185185,-0.12916432433616934
2,27825.444444444445,2954.4814814814813,425.9851851851852,1945.9777777777779,29333.837037037036,552.1259259259259,262.72592592592594,299.8222222222222,16606.125925925928,2694.0666666666666,2377.8518518518517,2119.9037037037037,911.1925925925926,653.2148148148148,135,15.51176150054164,11.35332121507144,0.6813938462657603,0.9310344827586207,0.75,-0.21629829068034032
3,33698.625,526.5882352941177,179.2058823529412,276.875,35624.757352941175,334.06617647058823,159.77941176470588,265.8602941176471,18172.727941176472,1114.3014705882354,775.0514705882352,715.1176470588235,1267.0661764705883,651.4926470588235,136,14.565383276329671,11.897200579964748,0.576901924965692,0.9444444444444444,0.7555555555555555,-1.349657583661115
4,56120.763636363634,812.8545454545455,294.3454545454546,367.5272727272727,57099.34545454545,481.8545454545455,242.29090909090908,289.0,36175.818181818184,1767.1272727272728,1037.290909090909,895.6727272727272,926.1818181818181,650.6909090909091,55,9.649186596603219,7.432070866372022,0.6377689859381448,0.9016393442622951,0.6790123456790124,0.3125601049507649
5,21411.00925925926,810.8333333333334,287.26851851851853,403.02777777777777,22244.76851851852,424.962962962963,205.21296296296296,285.69444444444446,11838.277777777777,2331.3888888888887,974.5,938.074074074074,1140.0925925925926,652.1851851851852,108,13.24260199018355,11.179653774173076,0.5359986852136582,0.9310344827586207,0.6923076923076923,-1.5270686415856147
6,21242.003115264797,774.5140186915888,272.09034267912773,368.49532710280374,22120.713395638628,401.74766355140184,197.10903426791276,281.37694704049846,12473.869158878504,1379.5732087227414,896.1370716510903,851.5545171339564,1081.0467289719627,658.0280373831775,321,22.43930805682564,19.178292048682547,0.5191651369832987,0.9197707736389685,0.7642857142857142,-0.5877599574086101
7,39268.375,1856.6,378.475,903.3,41302.25,556.6,271.65,310.375,22566.575,3444.825,2000.3,2670.65,896.975,652.9,40,8.03578909999153,6.360510477977168,0.6111396074382862,0.9523809523809523,0.8163265306122449,-0.8134004116977884
8,23570.862660944207,842.4721030042919,289.3948497854077,439.41630901287556,24574.896995708154,448.20171673819743,219.21459227467813,288.2360515021459,13543.12017167382,1938.6909871244636,1019.0515021459228,952.4077253218884,1155.9356223175967,658.4120171673819,233,18.750103740834568,15.842129149978957,0.5349102584910334,0.9789915966386554,0.8090277777777778,-0.08770455977557755
9,32474.197530864196,2157.358024691358,466.0740740740741,945.1234567901234,32705.172839506173,644.2592592592592,309.08641975308643,309.5061728395062,17565.20987654321,3650.4074074074074,1870.9135802469136,1867.7654320987654,995.2962962962963,654.6296296296297,81,13.411657372249092,7.940183483066378,0.8059115453528806,0.9101123595505618,0.6923076923076923,-1.4563267230345915
10,47039.14942528736,910.0689655172414,327.9310344827586,426.7816091954023,47922.70114942529,503.32183908045977,251.24137931034483,290.11494252873564,28193.666666666668,2503.609195402299,1199.0459770114942,1093.3908045977012,1050.2068965517242,657.4367816091954,87,12.923509304379436,9.17290080987522,0.7044193342428537,0.8613861386138614,0.564935064935065,0.25536522784013427
